,account_name,date,content,link,likes,source,conteo_post,cleaned_content,word_count,topic,WORDS TOPIC,Nombre,negativo,neutro,positivo
0,bavaria_colombia,2024-10-12 00:00:00,"??? En este fin de semana festivo recuerda ser un buen actor vial, ¡cuida tu vida y la de los demás!? No olvides usar el cinturón de seguridad, respetar las señales de tránsito y, por supuesto, nunca tomar si vas a manejar???",https://www.instagram.com/p/DBBssgYpnVJ/,72,instagram,1,??? fin semana festivo recuerda ser buen actor vial cuida vida demás? olvides usar cinturón seguridad respetar señales tránsito supuesto nunca tomar va manejar???,24,1,"parche,parceros,así,concierto,vemos",Vive el Parche,,,
1,bavaria_colombia,2024-10-11 00:00:00," #ValeLaPenaLeer ?? | Andrés Ospina - @af_ospina, Head of Draftline - @draftline_colombia (Innovations, IA, Connections and Creativity) en Bavaria - @bavaria_colombia, ha sido nombrado como uno de los CIO del Año 2024 por Forbes Colombia - @forbescolombia ???. Forbes destaca a 20 líderes que están aprovechando la tecnología para transformar sus empresas y redefinir el rol del Chief Information Officer (CIO) frente a los nuevos desafíos del mundo empresarial. ??El reconocimiento llega en un momento clave en el que el papel del CIO ha evolucionado considerablemente gracias a los avances tecnológicos que están revolucionando el panorama corporativo. Como responsable de la aceleración digital y el soporte al ecosistema B2B2C de Bavaria, Andrés lidera herramientas clave que conectan a clientes y consumidores con el negocio de una manera más eficiente. ?? Lee la nota completa en Copu.Media",https://www.instagram.com/p/DBADbRKScYe/?img_index=1,711,instagram,1,?? andrés ospina head of draftline innovation ia connection and creativity sido nombrado cio año forbes ??? forbes destaca líderes aprovechando tecnología transformar empresas redefinir rol chief information officer cio frente nuevos desafíos mundo empresarial ??el reconocimiento llega momento clave papel cio evolucionado considerablemente gracias avances tecnológicos revolucionando panorama corporativo responsable aceleración digital soporte ecosistema bbc andrés lidera herramientas clave conectan clientes consumidores negocio manera eficiente ?? lee nota completa copumedia,71,5,"millones,premios,tapa,peso,goles",Millones por Destapar,2.0,17.0,11.0
2,bavaria_colombia,2024-10-11 00:00:00,"???¡Cerveza, amigas y muchas risas! Recuerda este fin de semana festivo planear tu regreso y nunca tomar si vas a manejar. ?¡Disfruta momentos inolvidables, #MejorConCerveza y con moderación!",https://www.instagram.com/p/DA_-1URJxxD/,59,instagram,1,???cerveza amigas muchas risas recuerda fin semana festivo planear regreso nunca tomar va manejar ?disfruta momentos inolvidables moderación,18,4,"frías,cerveza,fútbol,combo",Goles y Frías,0.0,2.0,0.0
3,bavaria_colombia,2024-10-11 00:00:00,"?Hoy nuestro brindis va por Andrés Ospina, director del equipo creativo, digital y de growth en nuestro estudio in-house @draftline_colombia ? Quien fue reconocido en @forbescolombia por segundo año consecutivo en el top de los líderes de la transformación e innovación digital en nuestro país. Desde Bavaria nos apalancamos en la tecnología y la data para entender de manera más efectiva a nuestros clientes y consumidores; ofreciéndoles productos, experiencias y soluciones que atiendan sus necesidades y nos permitan seguir siendo una de las marcas más queridas por los colombianos. Felicidades a Andrés Felipe y a todo el equipo de @draftline_colombia, @bees.colombia y @tada.colombia por su compromiso para seguir creando juntos un futuro con más motivos para brindar. ¡Salud! ??",https://www.instagram.com/p/DA_dKbjp8Jf/,475,instagram,1,?hoy brindis va andrés ospina director equipo creativo digital growth estudio inhouse ? reconocido segundo año consecutivo top líderes transformación innovación digital país apalancamos tecnología data entender manera efectiva clientes consumidores ofreciéndoles productos experiencias soluciones atiendan necesidades permitan seguir siendo marcas queridas colombianos felicidades andrés felipe equipo compromiso seguir creando junto futuro motivos brindar salud ??,56,3,"conoce,convocatoria,parte,equipo,aquí",Juntos en Equipo,1.0,17.0,10.0
4,bavaria_colombia,2024-10-10 00:00:00,"¡Así vivimos la semana pasada la experiencia #MejorConCerveza en el @gimnasiopoker ?? Tips de moderación, brindis y amigos.? ¡Salud, por los momentos que inolvidables que se viven #MejorConCerveza!",https://www.instagram.com/p/DA91MIxpe39/,65,instagram,1,así vivimos semana pasada experiencia ?? tip moderación brindis amigos? salud momentos inolvidables viven,14,1,"parche,parceros,así,concierto,vemos",Vive el Parche,0.0,4.0,0.0
5,bavaria_colombia,2024-10-10 00:00:00,"?Hoy celebramos la pasión de todo un país, por supuesto, #MejorConCerveza. Porque #SíSomos los que gritan los goles con alegría y disfrutan moderación ??",https://www.instagram.com/p/DA9PrwYJyTU/,51,instagram,1,?hoy celebramos pasión país supuesto gritan goles alegría disfrutan moderación ??,11,1,"parche,parceros,así,concierto,vemos",Vive el Parche,,,
6,bavaria_colombia,2024-10-10 00:00:00,"?A propósito de la campaña #MejorConCerveza, Sergio Rincón, nuestro presidente, nos cuenta cómo la cerveza es la bebida de la moderación. Con la ampliación de nuestro portafolio, que ahora incluye opciones cero alcohol, la cerveza se convierte en una opción ideal para disfrutar en diversas ocasiones y crear momentos inolvidables. ??",https://www.instagram.com/p/DA86-SwJyGi/,296,instagram,1,?a propósito campaña sergio rincón presidente cuenta cómo bebida moderación ampliación portafolio ahora incluye opciones cero alcohol convierte opción ideal disfrutar diversas ocasiones crear momentos inolvidables ??,27,4,"frías,cerveza,fútbol,combo",Goles y Frías,,,
7,bavaria_colombia,2024-10-08 00:00:00,"¡Mariana, hoy eres nuestro motivo para brindar! ? Nuestra Directora de Marketing de Poker & Pilsen ha sido galardonada como la Marketer Creativa del Año en el Festival El Dorado, un reconocimiento a su visión y talento para llevar la creatividad al siguiente nivel y seguir llenando a los colombianos de más motivos para brindar ?? ¡Felicitaciones! ? #CreadoresDeBrindis",https://www.instagram.com/p/DA4U2Pbpq3a/,1223,instagram,1,mariana motivo brindar ? directora market pilsen sido galardonada  marketer creativa año festival dorado reconocimiento visión talento llevar creatividad siguiente nivel seguir llenando colombianos motivos brindar ?? felicitaciones ?,30,3,"conoce,convocatoria,parte,equipo,aquí",Juntos en Equipo,,,
8,bavaria_colombia,2024-10-08 00:00:00, ¿Listo para el próximo gran desafío? Únete como Auxiliar de Logística en Tocancipá y crea un futuro lleno de éxitos y brindis. ? Convocatoria abierta hasta el 14 de octubre. Aplica ahora o etiqueta a un amigo/a para que conozca la vacante. #CreadoresDeBrindis,https://www.instagram.com/p/DA39UUfJ-CW/,585,instagram,1,listo próximo gran desafío únete auxiliar logística tocancipá crea futuro lleno éxitos brindis ? convocatoria abierta octubre aplica ahora etiqueta amigoa conozca vacante,23,3,"conoce,convocatoria,parte,equipo,aquí",Juntos en Equipo,,,
9,bavaria_colombia,2024-10-07 00:00:00,"¡Parche, polas y consumo responsable en el @gimnasiopoker ! ?? Revive los mejores momentos de la experiencia #MejorConCerveza, en la que intervenimos los juegos de tejo, tapitas, bolirana y demás, para compartir tips de moderación con los consumidores.? Momentos inolvidables y amigos, #MejorConCerveza ?",https://www.instagram.com/p/DA1pFi8JnhP/?img_index=1,218,instagram,1,parche polas consumo responsable ?? revive mejores momentos experiencia intervenimos juegos tejo tapitas bolirana demás compartir tip moderación consumidores? momentos inolvidables amigos ?,23,4,"frías,cerveza,fútbol,combo",Goles y Frías,,,
